years,views(ten thousand)
2020,1.1
2020,0.1
2020,0.1
2020,0.1
2020,0.1
2020,0.2
2020,0.1
2020,0.1
2020,4.5
2020,0.1
2020,0.1
2020,4.5
2020,2
2020,3.3
2020,4
2020,0.1
2020,13
2020,28
2020,0.2
2020,0.1
2020,0.3
2020,2
2020,0.2
2020,0.3
2020,6
2020,5
2020,5
2020,1
2020,0.4
2020,0.1
2020,3.7
2020,0.2
2020,0.1
2020,0.7
2020,0.1
2020,2
2020,0.1
2020,1
2020,1.5
2020,0.4
2020,8.9
2020,13
2020,44
2020,2.9
2020,4.4
2020,10
2020,0.3
2020,2.9
2020,19
2020,6.1
2020,5.1
2020,8.8
2020,11
2020,25
2020,7.7
2020,4.5
2020,3
2020,5.4
2020,2.2
2020,3
2020,0.5
2020,0.7
2020,0.3
2020,0.3
2020,4.3
2020,19
2020,0.2
2020,18
2020,9.5
2020,0.2
2020,8.1
2020,1.2
2020,5.8
2020,0.2
2020,1.7
2020,23
2020,1.8
2020,6.2
2020,2.7
2020,94
2020,4.4
2020,0.2
2020,0.2
2020,264
2020,2.3
2020,0.2
2020,3.1
2020,1.7
2020,1.7
2020,8.4
2020,0.2
2021,0.3
2021,14
2021,1.1
2021,15
2021,0.3
2021,18
2021,7
2021,1.9
2021,45
2021,2.7
2021,2.5
2021,5.1
2021,1.4
2021,58
2021,2
2021,2.4
2021,0.8
2021,163
2021,2.2
2021,3.9
2021,12
2021,2.6
2021,8.1
2021,5.4
2021,5.5
2021,4.7
2021,3.2
2021,4.8
2021,1.7
2021,0.4
2021,1.1
2021,26
2021,57
2021,1.4
2021,1
2021,13
2021,9.5
2021,2.5
2021,3
2021,3.7
2021,4.7
2021,1.2
2021,5.2
2021,12
2021,45
2021,4.4
2021,48
2021,6.7
2021,2.6
2021,7.7
2021,5.5
2021,12
2021,4.2
2021,2.2
2021,7
2021,0.3
2021,131
2021,2.8
2021,3
2021,0.8
2021,0.3
2021,17
2021,0.4
2021,21
2021,7.1
2021,9.3
2021,0.5
2021,2.6
2021,4.1
2021,3.8
2022,5.5
2022,21
2022,19
2022,8.3
2022,23
2022,30
2022,3.5
2022,12
2022,3.6
2022,11
2022,9.5
2022,14
2022,2.5
2022,13
2022,4.1
2022,3.8
2022,12
2022,13
2022,12
2022,2.5
2022,15
2022,20
2022,2.8
2022,10
2022,8.3
2022,9.1
2022,11
2022,9.4
2022,1.6
2022,7.4
2022,7.7
2022,26
2022,1.7
2022,1.3
2022,1.5
2022,6.1
2022,1.9
2022,1.4
2022,3.9
2022,14
2022,1.2
2022,1.2
2022,13
2022,1.3
2022,0.3
2022,5.5
2022,4.9
2022,13
2022,1.4
2022,1.4
2022,0.3
2022,1.1
2022,1.5
2022,6.4
2022,6.1
2022,1
2022,10
2022,13
2022,21
2022,1.7
2022,23
2022,18
2022,1.3
2022,15
2022,16
2022,2.9
2022,10
2022,1
2022,7.3
2022,3
2022,1.7
2022,7.5
2022,9
2022,1.3
2022,7.5
2022,6.6
2022,8.1
2022,5.7
2022,1.7
2022,11
2022,1.3
2022,5
2022,5.1
2022,1
2022,6.7
2022,15
2022,6.5
2022,0.1
2022,5.9
2022,7.2
2022,52
2022,1.3
2022,2.2
2022,1
2022,11
2022,1.1
2022,0.3
2022,11
2022,5.5
2022,1.1
2022,10
2022,2
2022,0.9
2022,50
2022,53
2022,49
2022,1.6
2022,51
2022,11
2022,1.9
2022,1.3
2022,12
2022,3.1
2022,1.2
2022,1.5
2022,0.4
2022,11
2023,1.5
2023,2.2
2023,1
2023,11
2023,8.2
2023,1.1
2023,1.1
2023,4
2023,2.3
2023,1.9
2023,17
2023,1.8
2023,1.6
2023,57
2023,36
2023,35
2023,85
2023,2.1
2023,7.9
2023,2.1
2023,14
2023,6.2
2023,1.8
2023,1.7
2023,1.9
2023,1
2023,0.6
2023,1.1
2023,9.8
2023,1.4
2023,12
2023,1.5
2023,29
2023,1.4
2023,3.6
2023,8.8
2023,1.9
2023,1.1
2023,5.5
2023,5.7
2023,1.5
2023,2.5
2023,16
2023,2.4
2023,1.9
2023,41
2023,1.3
2023,9.2
2023,2
2023,1.5
2023,1.4
2023,2.9
2023,12
2023,3.1
2023,0.4
2023,4.7
2023,1.7
2023,9.2
2023,6.4
2023,1.8
2023,1.4
2023,0.3
2023,1.3
2023,2.1
2023,1.7
2023,15
2023,12
2023,9.9
2023,1.7
2023,16
2023,0.3
2023,11
2023,1.8
2023,6.3
2023,1.9
2023,1.8
2023,4
2023,1.6
2023,14
2023,1.8
2023,25
2023,27
2023,1.3
2023,1.4
2023,25
2023,3.7
2023,1.5
2023,16
2023,5.6
2023,8.6
2023,11
2023,1.2
2023,1.6
2023,3.7
2023,1.4
2023,7.8
2023,44
2023,9
2023,28
2023,2.8
2023,1.9
2023,61
2023,1.3
2023,20
2023,13
2023,0.4
2023,1.6
2023,6.3
2023,
